id;fda_application_no;name;generic_name;brand_name;over_view;strength_amount;strength_unit;product_number;active_ingredient;form;routs_of_administration
1;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;58675;Specialist Home Loan Account;27599;scalable;INJECTION;SUBCUTANEOUS
2;overriding;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;72960;withdrawal COM;47221;Frozen bus;POWDER;RETROBULBAR
3;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;69478;JSON;62435;modular Refined Squares;OIL_DROPS;INTUBING
4;support Gorgeous;withdrawal;copying;ability Hat Iraq;magenta Concrete;33761;Directives;32320;Mauritania;LIQUID;INFILTRATION
5;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;Credit Card Account;8085;24/7 Re-contextualized cross-platform;47030;Orchestrator deliver;POWDER_FOR_ORAL_SOLUTION;TOPICAL_FOOD_PREMISES
6;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;87733;Enhanced deposit parsing;55520;Equatorial Guinea Vision-oriented;TROCHE_LOZENGE;INTRADERMAL
7;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools;Branding;97366;clear-thinking;30536;Buckinghamshire Ports;PELLETS;IRRIGATION
8;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal;79481;Borders North Dakota;49251;white sensor local;TAPE;INTRABRANCHIAL
9;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;39469;calculating Intranet Ergonomic Concrete Soap;67114;intuitive Open-architected system-worthy;CAPSULE;INTRAVASCULAR
10;redundant;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;9398;North Dakota Garden;46559;Wallis and Futuna;TAMPON;DISINFECTANT_MEDICAL_INSTRUMENTS
