ApplNo	ProductNo	Form	RoutsOfAdministration	DrugName	ActiveIngredient
000004	004	SOLUTION_DROPS	OPHTHALMIC	PAREDRINE	HYDROXYAMPHETAMINE HYDROBROMIDE
000159	001	TABLET	ORAL	SULFAPYRIDINE	SULFAPYRIDINE
000552	001	INJECTABLE	INJECTION	LIQUAEMIN SODIUM	HEPARIN SODIUM
000552	002	INJECTABLE	INJECTION	LIQUAEMIN SODIUM	HEPARIN SODIUM
000552	003	INJECTABLE	INJECTION	LIQUAEMIN SODIUM	HEPARIN SODIUM
000552	004	INJECTABLE	INJECTION	LIQUAEMIN SODIUM	HEPARIN SODIUM
000552	005	INJECTABLE	INJECTION	LIQUAEMIN SODIUM	HEPARIN SODIUM
000552	007	INJECTABLE	INJECTION	LIQUAEMIN LOCK FLUSH	HEPARIN SODIUM
000552	008	INJECTABLE	INJECTION	HEPARIN SODIUM	HEPARIN SODIUM
000552	009	INJECTABLE	INJECTION	HEPARIN SODIUM	HEPARIN SODIUM
000552	010	INJECTABLE	INJECTION	HEPARIN SODIUM	HEPARIN SODIUM
000552	011	INJECTABLE	INJECTION	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM
000552	012	INJECTABLE	INJECTION	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM
000552	013	INJECTABLE	INJECTION	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM
000734	001	INJECTABLE	INJECTION	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE
000734	002	INJECTABLE	INJECTION	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE
000734	003	INJECTABLE	INJECTION	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE
000793	002	TABLET	ORAL	BUTISOL SODIUM	BUTABARBITAL SODIUM
000793	003	TABLET	ORAL	BUTISOL SODIUM	BUTABARBITAL SODIUM
000793	004	TABLET	ORAL	BUTISOL SODIUM	BUTABARBITAL SODIUM
000793	005	TABLET	ORAL	BUTISOL SODIUM	BUTABARBITAL SODIUM
001104	001	INJECTABLE	INJECTION	DOCA	DESOXYCORTICOSTERONE ACETATE
001504	001	UNKNOWN	UNKNOWN	VERARD	VERARD
001546	001	TABLET	ORAL	GUANIDINE HYDROCHLORIDE	GUANIDINE HYDROCHLORIDE
002139	003	TABLET	ORAL	MENADIONE	MENADIONE
002245	002	TABLET	ORAL	PROLOID	THYROGLOBULIN
